AuthorName	TitleName	TagName
Plutarco	Vidas paralelas	Ensayo
Pardo Bazán, Emilia	Un viaje de novios	Literatura Universal
Pardo Bazán, Emilia	Un viaje de novios	Literatura Hispanoamericana
Palma, Ricardo	Tradiciones peruanas	Literatura Hispanoamericana
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 1	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 2	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 3	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 4	Literatura Universal
Poe, Edgar Allan	The Works of Edgar Allan Poe — Volume 5	Literatura Universal
Potter, Beatrix	The Tale of Peter Rabbit	Literatura Universal
Potter, Beatrix	The Tale of Peter Rabbit	Literatura Universal
Perrault, Charles	The Tales of Mother Goose	Infantil y juvenil
Potter, Beatrix	The Tale of Peter Rabbit	Infantil y juvenil
Potter, Beatrix	The Tale of Tom Kitten	Infantil y juvenil
Potter, Beatrix	The Tale of Squirrel Nutkin	Infantil y juvenil
Potter, Beatrix	The Tale of Benjamin Bunny	Infantil y juvenil
Potter, Beatrix	The Tale of Mrs. Tiggy-Winkle	Infantil y juvenil
Potter, Beatrix	The Tale of Peter Rabbit	Infantil y juvenil
Potter, Beatrix	The Tale of Tom Kitten	Infantil y juvenil
Potter, Beatrix	The Tale of Squirrel Nutkin	Infantil y juvenil
Potter, Beatrix	The Tale of Benjamin Bunny	Infantil y juvenil
Potter, Beatrix	The Tale of Mrs. Tiggy-Winkle	Infantil y juvenil
Palma, Ricardo	Tradiciones peruanas	Historia y Novela histórica
Poe, Edgar Allan	Selección de cuentos (Poe, Edgar Allan)	Palabras sinfónicas (audiolibros)
Pirandello, Luigi	Seis personajes en busca de autor	Literatura Universal
Poe, Edgar Allan	Selección de cuentos (Poe, Edgar Allan)	Literatura Universal
Proust, Marcel	Sodoma y Gomorra	Literatura Universal
Proust, Marcel	Por el camino de Swann	Literatura Universal
Pérez Galdós, Benito	Marianela	Palabras sinfónicas (audiolibros)
Pérez Galdós, Benito	Marianela	Literatura Universal
Peza, Juan de Dios	Leyendas de las calles de Méjico	Palabras sinfónicas (audiolibros)
Palacio Valdés, Armando	La aldea perdida	Literatura Hispanoamericana
Pardo Bazán, Emilia	La sirena negra	Literatura Universal
Pardo Bazán, Emilia	La gota de sangre	Literatura Hispanoamericana
Pavese, Cesare	La playa	Literatura Universal
Payno, Manuel	Los bandidos de río frío	Literatura Hispanoamericana
Pessoa, Fernando	Libro del desasosiego	Literatura Universal
Peza, Juan de Dios	Leyendas de las calles de Méjico	Literatura Hispanoamericana
Proust, Marcel	La prisionera	Literatura Universal
Proust, Marcel	La fugitiva	Literatura Universal
Platón	La República	Ensayo
Plinio el Viejo	Historia Natural	Historia y Novela histórica
Perelmán, Yákov	Física recreativa 1	Académicos
Perelmán, Yákov	Física recreativa 1	Académicos
Pardo Bazán, Emilia	El saludo de las brujas	Literatura Universal
Pavese, Cesare	El camarada	Literatura Universal
Pérez Galdós, Benito	El abuelo	Literatura Universal
Pérez Galdós, Benito	El caballero encantado	Literatura Universal
Proust, Marcel	El mundo de Guermantes	Literatura Universal
Proust, Marcel	El tiempo recobrado	Literatura Universal
Pushkin, Aleksandr S.	El jinete de bronce	Literatura Universal
Pavese, Cesare	El oficio de vivir	Ensayo
Platón	El banquete	Ensayo
Pardo Bazán, Emilia	Doña Milagros	Literatura Universal
Pérez Galdós, Benito	Doña Perfecta	Literatura Universal
Payno, Manuel	Costumbres mexicanas	Palabras sinfónicas (audiolibros)
Palma, Angélica	Crónicas de Marianela	Literatura Hispanoamericana
Pardo Bazán, Emilia	Cuentos de amor	Literatura Universal
Pardo Bazán, Emilia	Cuentos de amor	Literatura Hispanoamericana
Payno, Manuel	Costumbres mexicanas	Literatura Hispanoamericana
Peza, Juan de Dios	Cuentos y recuerdos personales	Literatura Hispanoamericana
Plato	Crito	Literatura Universal
Payno, Manuel	Costumbres mexicanas	Historia y Novela histórica
Prieto, Guillermo	Cuadros de costumbres	Historia y Novela histórica
Proust, Marcel	A la sombra de las muchachas en flor	Literatura Universal
Pujol de Collado, Josefa	Amor de madre	Literatura Hispanoamericana
Perelmán, Yákov	Aritmética recreativa	Académicos
Perelmán, Yákov	Aritmética recreativa	Académicos
Perelmán, Yákov	¿Sabe Ud. Física?	Académicos
Perelmán, Yákov	¿Sabe Ud. Física?	Académicos
